Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Description & Remarks.,Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Ettington,ETT,A,A429/A422 R'bout,164,52 08.483N 001 36.843W,,"NW of village, 1 NMl NW of Fosse Way. 5 SE Stratford.",10,WNW,Banbury,42651 24930,ETT,ETT
Evesham,EVE,C,Station/Road Br E,98,52 05.893N 001 56.757W,,"Br over rly just E of stn, NW side of Town.",12,SE,Worcester,40380 24443,EVE,EVE
Ennerdale Water W,EWW,A,Bridge,377,54 31.470N 003 24.627W,,"Bridge at weir W end of lake, 5 NMl W of Whitehaven",28,SW,Carlisle,30881 51527,EWW,EWW
Eyebrook,EYE,A,Reservoir Dam SW,315,52 32.336N 000 44.696W,,"SW end of dam wall, S side of water. 3 NMl N of Corby.",17,W,Peterborough,48522 29419,EYE,EYE
Fakenham,FAK,A,A148/A1065 R'bout,200,52 50.372N 000 50.257E,,NW side of town,18,NW,Norwich,59122 33066,FAK,FAK
Falgunzeon,FAL,D#,Gliding Site,600,54 56.584N 003 44.445W,129.98,"Dumfries & District GC site, N of Solway",10,SW,Dumfries,28859 56232,FAL,FAL
Faringdon,FAR,C,A420/A417 R'bout,390,51 38.955N 001 34.519W,,Roundabout SE side of town. Brize Zone 2 NMl N.,8,NE,Swindon,42948 19458,FAR,FAR
Faversham,FAV,A,M2 J7/A2,315,51 18.099N 000 55.548E,,1.5 NMl ESE of town,8,WNW,Canterbury,60405 15990,FAV,FAV
Falkirk West,FAW,A#,M80 J5 over M876,220,56 00.168N 003 55.003W,,5 NMl W of town S of Denny village. Under TMA base 2500 ft,6,S,Stirling,28057 68053,FAW,FAW
Fraserburgh,FBG,C,E of 2 Lighthouses,164,57 41.518N 001 59.697W,,NE side of town on end of N harbour wall.Fast-jet weapon range just to the W [D 708],32,N,Aberdeen,40040 86690,FBG,FBG
Fontburn Reservoir,FBR,A,Valve tower near dam wall,604,55 14.199N 001 55.486W,,5 Nml S of Rothbury,19,NW,Newcastle,40488 59361,FBR,FBR
Feshie Airstrip,FE1,D#,Centre of strip,860,57 06.113N 003 53.504W,118.685,Grass runway between minor road and river Feshie,24,SE,Inverness,28550 80280,FE1,FE1
Feshie Start N,FE2,D#,Monument,1175,57 09.422N 003 51.470W,,"Duke of Gordon's Monument on hill between river Spey and Loch Alvie, 3 NMl NNE of Feshiebridge gliding site",22,SSE,Inverness,28772 80888,FE2,FE2
Feshie Descent Point,FE3,G#,Loch Insh,715,57 06.884N 003 56.020W,,"Centre of Loch Insh, used by Club as a descent point.  Note Feshie gliding site 1 NMl SE",23,SSE,Inverness,28300 80430,FE3,FE3
Feshie S,FE5,D,Small Loch,2493,57 00.003N 003 52.551W,,"Lochan nam Bo, E of river Feshie gorge, 6 Nml S of Feshie club site.  Caution, rugged terrain",30,SSE,Inverness,28615 79144,FE5,FE5
Fearnan,FEA,A,A827 T Junction,356,56 34.438N 004 05.034W,,"N side of Loch Tay at Fearnen village, 7 NMl WSW of Aberfeldy.  Caution, rugged terrain",28,N,Stirling,27207 74439,FEA,FEA
Fenny Compton,FEN,A,A423 Br over rail,240,52 09.998N 001 21.855W,,"1 NMl E of village, canal immediately to the north.",6,N,Banbury,44358 25223,FEN,FEN
Ferness,FER,A,A939/River Bridge,820,57 29.659N 003 44.247W,,Bridge over river Findhorn,16,E,Inverness,29596 84623,FER,FER
Feshiebridge,FES,D#,Gliding Club Hangar,860,57 06.100N 003 53.671W,118.685,"Cairngorm GC site, 6 NMl SSW of Aviemore",24,SSE,Inverness,28533 80278,FES,FES
Fettercairn,FET,C,B966/B974,394,56 51.093N 002 34.499W,,Near church spire in town centre,23,SW,Aberdeen,36503 77349,FET,FET
Felixstowe Pier,FEX,B,Pier entrance,20,51 57.476N 001 20.768E,,West end of pier SE side of town,9,SE,Ipswich,63000 23412,FEX,FEX
Farnsfield,FFD,D,Rail/Road,180,53 06.433N 001 02.019W,,N side of village between Mansfield and Newark where road crosses disused rail line,21,SW,Lincoln,46479 35711,FFD,FFD
Fforest Inn,FFI,C,Y-Junction,1153,52 13.108N 003 12.925W,,Junction of A44 and A481 and site of the Fforest Inn,42,WNW,Gloucester,31706 25850,FFI,FFI
Forfar,FFR,C,Loch East End,230,56 38.757N 002 54.016W,,"Small Loch W of town, between town and A94",11,N,Dundee,34489 75082,FFR,FFR
Fan Hir,FHI,D,Trig point,2631,51 52.943N 003 42.488W,,"Northern end of the Fan Hir escarpment, E of small lake, 11NMl WSW of Brecon.  Caution, rugged terrain",17,NNE,Swansea,28253 22180,FHI,FHI
Fownhope,FHP,C,Crossroads,175,52 00.468N 002 36.966W,,B4224 Crossroads in centre of village. Between Mordiford and Brockhampton,5,SE,Hereford,35781 23455,FHP,FHP
Firle Beacon,FIB,B,Spot Height,712,50 50.025N 000 06.498E,,"712 ft spot height on South Downs ridge, 7 NMl WNW of Eastbourne",11,E,Brighton,54856 10592,FIB,FIB
Filey,FIL,A,Rail/A165,138,54 11.508N 000 17.979W,,1 NMl S of town.  Between Bridlington and Scarborough,31,NE,York,51104 47867,FIL,FIL
Finmere,FIM,A,A421/A4421,390,51 59.318N 001 04.164W,,Roundabout S side of village and W of light aircraft strip.  5 NMl NNW of Bicester airfield,11,ESE,Banbury,46400 23265,FIM,FIM
Finavon,FIN,B,A94/B957,131,56 42.318N 002 49.643W,,T junction S of village,14,NNE,Dundee,34944 75737,FIN,FIN
Fishguard,FIS,B,Roundabout,295,51 59.198N 004 59.391W,,A40 roundabout SW side of town,44,NW,Swansea,19480 23624,FIS,FIS
Flamborough,FLA,A,Lighthouse,135,54 06.982N 000 04.963W,,E end of promontary into North Sea 5 NMl ENE of Bridlington,36,ENE,York,52542 47064,FLA,FLA
Four Marks,FMA,C,Station,640,51 06.819N 001 02.825W,,Rail station on Watercress steam railway.  N of A31 S of 721ft trig point,4,S,Lasham,46680 13536,FMA,FMA
Fort William NE,FNE,D,Field,66,56 52.561N 005 02.933W,,"E of river Lochy and Caledonian Canal. 3 Nml NE of Fort William.  Sometimes used for landings, check before using, also known as Trevor's Field, caution, trees.",3,NE,Fort William,21430 78021,FNE,FNE
Falmouth NW,FNW,B,A39 roundabout,180,50 09.752N 005 05.980W,,NW side of town 300m W of rail/A39,39,WSW,Plymouth,17871 03377,FNW,FNW
Fort Augustus,FOA,A,Lighthouse,817,57 08.761N 004 40.525W,,E side of town at SW end of Loch Ness,25,SW,Inverness,23823 80930,FOA,FOA
Fordoun,FOD,A,A90/B967,205,56 52.182N 002 24.742W,,T junction S side of village. Normally disused a/f to N,19,SSW,Aberdeen,37496 77543,FOD,FOD
Folkestone,FOL,A,M20 J11/ B2086,246,51 05.723N 001 02.967E,,4 NMl W of town,12,S,Canterbury,61362 13732,FOL,FOL
Fordingbridge,FOR,A,A338/River Bridge,194,50 55.709N 001 47.191W,,E side of town,8,S,Salisbury,41510 11436,FOR,FOR
Foston,FOS,A,A64/Rail Bridge,128,54 04.221N 000 55.239W,,"SE side of Foston village, towards Barton-le-Willows",8,NE,York,47073 46436,FOS,FOS
Fovant,FOV,C,A30/T junction,351,51 03.156N 001 59.938W,,W edge of vill where minor road goes S to Broade Chalke. 1 NMl W of 659 ft spot ht and `Badges'cut in N facing ridge.,8,W,Salisbury,40017 12814,FOV,FOV
Freuchie,FRE,A,A92/912/914,345,56 14.016N 003 09.356W,,"Roundabout 1 NMl S of village at Muirhead, by the railway",13,SE,Perth,32844 70516,FRE,FRE
Fridaythorpe,FRI,A,A166/B1251,102,54 01.218N 000 39.720W,,"Y shaped junction E side of village, 8 NMl W of Great Driffield",15,ENE,York,48776 45908,FRI,FRI
Frome,FRO,C,A362/B3092,240,51 13.699N 002 19.348W,,Centre of triangular junction in town centre.,9,S,Bath,37758 14773,FRO,FRO
Framlingham,FRW,D,Windmill,148,52 13.906N 001 17.897E,,"2 NMl W of town at Saxtead Green, just W of A1120/B1119",11,NE,Ipswich,62533 26441,FRW,FRW
Fort William,FTW,A,A82/Rail Br,33,56 49.566N 005 05.207W,,NE side of town,48,SW,Inverness,21174 77476,FTW,FTW
Gainsborough Power Station,GA2,A,Chimney,665,53 21.783N 000 48.645W,,"Top of east of two 655 ft chimneys between cooling towers, 3 NMl SW of Gainsborough",13,NW,Lincoln,47924 38579,GA2,GA2
Galashiels,GAA,B,A6091/River Br,30,55 36.207N 002 46.803W,,Over river Tweed SE side of town. 4 NMl NNE of Selkirk,27,WSW,Berwick,35095 63470,GAA,GAA
Garboldisham,GAB,A,A1066/B1111(E),161,52 23.713N 000 56.815E,,E of two T junctions in village centre. 7 NMl E of Thetford,19,SW,Norwich,60060 28155,GAB,GAB
Garforth,GAF,B,Rail/A642,75,53 47.818N 001 22.979W,,NW edge of town between Leeds and A1,14,SW,York,44074 43358,GAF,GAF
Gargrave West,GAG,A,Rail br over A65,490,53 59.492N 002 08.243W,,"About 1 NMl WNW of village, 4 Nml WNW of Skipton. Avoid Leeds-Bradford CTA 2.5 NMl to the SE",26,E,Lancaster,39109 45506,GAG,GAG
Gainsborough,GAI,A,A631/River Bridge,56,53 23.523N 000 46.628W,,Bridge over river Trent on SW side of Town,13,NW,Lincoln,48142 38905,GAI,GAI
Gallowfauld,GAL,A,A929/A928,394,56 32.907N 002 56.356W,,Y shaped road fork,4,N,Dundee,34235 74000,GAL,GAL
Garten,GAR,C,Station,623,57 14.898N 003 45.152W,,S side of village bet A95 and B970. 9 NMl NE of Feshiebridge,16,SE,Inverness,29435 81887,GAR,GAR
Gateshead East,GAT,C,A194(M)/A184,138,54 56.752N 001 30.933W,,End of motorway at roundabout 3 NMl E of Town,4,W,Newcastle,43113 56135,GAT,GAT
Gaydon,GAY,A,M40 J12/B4451,203,52 11.559N 001 27.538W,,2 NMl NE of centre of disused A/F with one long rwy.,10,NW,Banbury,43708 25507,GAY,GAY
Gribbin Head,GBB,B,Tower,213,50 19.017N 004 40.383W,,On promontary 1 Nml SW of Fowey.,22,W,Plymouth,20980 04975,GBB,GBB
Great Bedwyn,GBE,B,Bridge,394,51 22.711N 001 35.916W,,"Bridge over Kennet and Avon Canal E side of village, 4NMl SW of Hungerford",11,W,Newbury,42802 16446,GBE,GBE
Glasbury Bridge,GBR,A,A438 river Br,262,52 02.731N 003 11.840W,,Over R Wye in middle of village,18,W,Hereford,31798 23925,GBR,GBR
Gloucester Canal Bridge,GCB,C,A430 Bridge,36,51 51.522N 002 15.354W,,Over canal W side of Gloucester,6,WSW,Cheltenham,38247 21782,GCB,GCB
Glen Dee Bridge,GDB,D,Dee Bridge,1339,56 58.583N 003 36.931W,,"Where Glen Dee and Geldie Burn meet at White Bridge.  7 NMl W of Braemar. Caution, remote and rugged terrain",36,SE,Inverness,30190 78840,GDB,GDB
Glyndebourne,GDE,D,Opera House,131,50 52.681N 000 03.701E,,E of T-junction between minor road and road to opera house.  3 NMl east of Lewes on South Downs ridge,10,ENE,Brighton,54514 11075,GDE,GDE
Great Dun Fell,GDF,C,Relay station,2780,54 41.048N 002 27.052W,,"Building at top of Fell, 1NMl SE of spot height 2930ft, 5NMl WNW of Cow Green Reservoir.  Caution, rugged terrain",20,SE,Carlisle,37103 53221,GDF,GDF
Gordon,GDN,A,A6105/A6089,540,55 40.810N 002 33.738W,,"Crossroads in village centre, 6 NMl NW of Kelso",19,WSW,Berwick,36475 64308,GDN,GDN
Gretna Services,GES,A,Bridge,131,55 00.594N 003 05.268W,,"Bridge over A74M, 1 NMl NW of Gretna village",8,NW,Carlisle,33053 56891,GES,GES
Glenfiddich Lodge,GFD,D,Bridge,1017,57 22.921N 003 08.487W,,"Small bridge over river Fiddich at Lodge building, 4 NMl S of Dufftown. Caution, rugged terrain",20,SSE,Lossiemouth,33147 83297,GFD,GFD
Glenfarg Reservoir E,GFG,B,Tower,623,56 16.884N 003 26.376W,,"SE side of reservoir.  Tower in water W of dam wall, connected by a causeway.  6NMl NNW of Portmoak",7,S,Perth,31097 71081,GFG,GFG
Glen Falloch,GFL,A,A82/River,85,56 20.417N 004 43.230W,,"Bridge over Dubh Eas river N of Loch Lomond where A82 turns NE up Glen Falloch.  Caution, rugged terrain",25,ESE,Oban,23194 71976,GFL,GFL
Garsdale Head,GHD,A,Bridge,1017,54 19.686N 002 19.116W,,"Rail bridge over A684, 8 NMl E of Sedbergh.  Caution, rugged terrain",23,NE,Lancaster,37938 49255,GHD,GHD
Gifford,GIF,C,Village Kirk,371,55 54.227N 002 44.735W,,Yester Kirk in Village at Junction of B6355 and B6369.,16,E,Edinburgh,35348 66810,GIF,GIF
Gillingham,GIL,B,Station/B3081 Bridge,249,51 02.101N 002 16.127W,,"B3081 Br over rly, just E of stn between Salisbury & Yeovil",18,W,Salisbury,38125 12622,GIL,GIL
Giosla,GIO,A,Small Power Station,30,58 07.677N 006 52.683W,,Marked PS on 500k air map E of B8011,18,WSW,Stornoway,11294 92584,GIO,GIO
Gisburn,GIS,A,A682 br over rail,490,53 56.336N 002 15.572W,,N side of town,20,ESE,Lancaster,38306 44923,GIS,GIS
Glastonbury,GLA,C,T-Junction,187,51 08.885N 002 42.741W,,"Roads in Town Centre, old A361/A39.",13,N,Yeovil,35027 13900,GLA,GLA
Gelt Bridge,GLB,A#,Rail Bridge,360,54 54.500N 002 43.851W,,"Rail over R Gelt 2NMl NW of Castle Carrick Dam.  Avoid Carlisle traffic, ATZ 1 NMl NW",7,E,Carlisle,35324 55731,GLB,GLB
Glendevon,GLE,D,Castle,138,56 13.849N 003 39.172W,,1 NMl NW of village. 10 NMl WNW of Portmoak,12,SW,Perth,29763 70548,GLE,GLE
Glenforsa,GLF,A,Airstrip Hotel,39,56 30.921N 005 54.903W,,"Hotel S side of airstrip on Mull, 1 NMl E of Salen",16,WNW,Oban,15925 74279,GLF,GLF
Gleneagles,GLN,D,Hotel S side,115,56 16.966N 003 45.064W,,S side faces golf course. By the A823 2 NMl SW of Auchterader.,12,NE,Stirling,29169 71141,GLN,GLN
Gloucester South,GLS,A,Rail/M5 Bridge,112,51 48.251N 002 15.887W,,1 NMl E of M5 Junction 12. 3 NMl SSW of Gloucester.,9,SW,Cheltenham,38184 21176,GLS,GLS
Glenlatterach Dam N,GLT,A,Dam wall,689,57 33.713N 003 20.880W,,"N end of dam, E side of dam wall.  5 NMl S of Elgin",10,S,Lossiemouth,31945 85322,GLT,GLT
Gairlochy,GLY,C,Lighthouse,522,56 55.028N 004 59.249W,,SW end of Loch Lochy,7,NE,Fort William,21824 78462,GLY,GLY
Grains,GNS,C#,B6276 Bridge,1171,54 34.908N 002 12.391W,,"Grains-over-the-Beck, bridge over river Lune. Hill crest between Brough and Middleton-in-Teesdale. Caution, Rugged terrain, avoid D407 to NW",31,SE,Carlisle,38675 52075,GNS,GNS
Goole N,GO2,A,M62 J37,30,53 44.056N 000 51.971W,,Bridge over M62 between Goole and Howden,15,NNE,Doncaster,47489 42703,GO2,GO2
Goole NE,GOO,A,M62/Rail Bridge,16,53 45.201N 000 46.309W,,5 NMl NE of town,16,SE,York,48108 42925,GOO,GOO
Goring,GOR,A,Rail/River bridge,226,51 30.698N 001 07.680W,,"Rail br over R. Thames 1 NMl S of town.  8 NW of Reading. Avoid Chilton Park traffic to N, which includes parachuting.",10,NE,Newbury,46061 17955,GOR,GOR
Great Ponton,GPN,B,Footbridge over A1,272,52 51.762N 000 37.768W,,Footbridge over A1 in middle of Village,9,WSW,Grantham,49237 33035,GPN,GPN
Gransden NW,GR1,D#,Silo/Hangar,254,52 11.087N 000 07.328W,,Cambridge GC Club Finish point.,10,W,Cambridge,52848 25572,GR1,GR1
Grantham,GRA,A,A1/A607,210,52 53.844N 000 39.875W,,"SW of town, close to canal bridge",1,SW,Grantham,48993 33416,GRA,GRA
Grasmere Church,GRC,C,Church Tower,197,54 27.454N 003 01.423W,,Middle of Grasmere village N of small lake 3 NMl NW of Ambleside,25,NNW,Lancaster,33373 50739,GRC,GRC
Great Ashfield,GRF,C,A/F R/Ws 24/31,200,52 15.425N 000 56.150E,,"Remains of Disused A/F, now Chicken Farm. Not Landable, 8 NMl N of Wattisham airfield.",14,NW,Ipswich,60047 26616,GRF,GRF
Grimwith Reservoir,GRI,B,Tower S side,950,54 04.401N 001 54.423W,,Valve tower in water. 1 NMl N of B6265 Pately Br-Grassington road,31,E,Lancaster,40618 46416,GRI,GRI
Gransden Lodge,GRL,D#,Clubhouse,254,52 11.179N 000 06.674W,131.28,"N side of Cambridge GC site. Avoid Fuller's Hill grass airfield [Little Gransden' on ICAO map] 1 NMl SW with light aircraft & microlights, including aerobatics.",10,W,Cambridge,52922 25591,GRL,GRL
Great Malvern,GRM,C,Station/A449,203,52 07.502N 002 19.147W,,A449 Bridge S side of Malvern Link station (N of 2 stations in Malvern),6,SW,Worcester,37825 24746,GRM,GRM
Greenlaw,GRN,A,A697/A6105,486,55 42.359N 002 27.912W,,T junction W side of town just W of A697 bridge over Blackadder Water,16,WSW,Berwick,37086 64594,GRN,GRN
Grosmont,GRO,B,Castle,420,51 54.926N 002 51.964W,,Between loop in River Monnow & Grosmont village,11,SSW,Hereford,34053 22446,GRO,GRO
Grassington,GRS,C,B6265/River,490,54 04.231N 002 00.264W,,Bridge over river Wharfe NW side of town 19 NMl NW of Leeds,28,E,Lancaster,39981 46384,GRS,GRS
Great Rundale Tarn,GRT,D,Tarn Centre,2215,54 38.911N 002 25.201W,,"N of three Tarns (small lakes) on top of Crossfell ridge 6NMl NNE of Appleby.  2.5 NMl NE of Dufton (DUT) & half way to Cow Green Reservoir.  Caution, rugged terrain",22,SE,Carlisle,37299 52824,GRT,GRT
Grafham Water,GRW,B,SE Tower,200,52 17.387N 000 17.179W,,Tower in water by dam on SE side of lake.,10,NNE,Bedford,51698 26712,GRW,GRW
Grantshouse,GSE,A,A1/A6112 Junction,387,55 52.929N 002 18.344W,,8 Nml W of Eyemouth,35,E,Edinburgh,38097 66549,GSE,GSE
Glassonby,GSS,D#,Intersection of 2 grass runways,597,54 44.284N 002 39.119W,,"Microlight site S side of Glassonby village, use with caution",13,SE,Carlisle,35812 53832,GSS,GSS
Grantown,GTN,A,Spey Bridge/A95,591,57 19.295N 003 36.374W,,"Bridge is S of town, 20 NMl S of Kinloss",22,SE,Inverness,30337 82681,GTN,GTN
Great Orme,GTO,A#,Spot height 679ft,679,53 19.953N 003 51.136W,,"Top of Great Ormes Head, 1 m NW of Llandudno. Avoid airway to the N",39,W,Chester,27675 38334,GTO,GTO
Great Witley,GTW,C,A443/B4197,210,52 17.340N 002 21.417W,,"T junction SE of village, 1 NMl S of 930 ft spot height",7,NW,Worcester,37575 26571,GTW,GTW
Guisborough,GUI,C,A173/B1269,233,54 32.712N 001 02.522W,,Roundabout NE side of town 6 NMl ESE of Middlesborough,18,E,Darlington,46207 51708,GUI,GUI
Guisborough SW,GUW,D,1050 ft spot height,1050,54 30.317N 001 06.442W,,N end of ridge at Roseberry common between Guisborough and Gt Ayton,15,E,Darlington,45790 51259,GUW,GUW
Garve,GVE,A,Rail br over A835,260,57 36.890N 004 41.362W,,Centre of village N of rail stn,17,NW,Inverness,23945 86150,GVE,GVE
Goodwood Grandstand,GWD,C#,Grandstand W,510,50 53.516N 000 44.815W,,"W end of grandstands at racecourse, 500 m E of 675 ft spot height.  Just N of Goodwood Airfield ATZ",11,ENE,Portsmouth,48823 11102,GWD,GWD
Great Yarmouth S,GYS,B,A12/B1370,30,52 34.453N 001 43.320E,,"Bridge over A12, 1NMl W of N and S piers at River Yare outflow to sea",16,ESE,Norwich,65229 30389,GYS,GYS
Halton West,HA2,D,Minor T-Junction,282,51 47.183N 000 50.250W,,"Junction with Farm Track  in Bishopstone village.  6.5 km West of Halton A/F. Difficult to find. To allow cross country flights to commence in the higher airspace, clear of ATZ, and control point for returning gliders, keeping them clear of the ATZ, and power traffic.",12,WSW,Dunstable,48028 21039,HA2,HA2
Hay Bluff,HAB,C,Trig Point top of steep hill,2220,52 01.360N 003 06.165W,,"3 NMl SSE of Hay-on-Wye, 1 NMl SW of large wood and north end of two ridges. Point intended for ridge soaring cross-countries, watch for Hang Gliders",14,W,Hereford,32443 23660,HAB,HAB
Halesland,HAD,D#,Hangar,870,51 15.607N 002 43.765W,129.98,"SE side of Mendip GC Site, 1.5 NMl N of Westbury Sub Mendip",15,WSW,Bath,34920 15147,HAD,HAD
Halesworth,HAE,B,Station/A144 Bridge,108,52 20.900N 001 30.270E,,Bridge over railway immediately N of station on E side of town,18,SSE,Norwich,63878 27803,HAE,HAE
Hailsham,HAI,A,A22/A267 R'bout,115,50 52.736N 000 13.930E,,NW side of town.,13,W,Hastings,55713 11120,HAI,HAI
Hawick,HAK,A,A698/A6088,36,55 26.114N 002 45.153W,,"NE side of village, S of river Teviot. 8 NMl WSW of Jedburgh",31,SW,Berwick,35248 61596,HAK,HAK
Halton,HAL,C##,NE corner of Hangars,370,51 47.215N 000 44.198W,130.425,"S side of grass A/F, RAFGSA Chilterns Gliding Centre. LTMA at 3500ft.",8,SW,Dunstable,48724 21056,HAL,HAL
Harrogate North,HAN,C,A61/B6165,85,54 02.216N 001 33.888W,,"S of 2 roundabouts at Ripley, 3 NMl NNW of town",17,WNW,York,42860 46019,HAN,HAN
Harting,HAR,C,Church Spire,230,50 58.132N 000 53.099W,,Just W of B2146.  3 NMl SE of Petersfield,14,SSE,Lasham,47839 11942,HAR,HAR
Hastings,HAS,A,A21/A2100/B2093,157,50 53.418N 000 33.279E,,Multiple road junction N side of town,1.5,N,Hastings,57977 11320,HAS,HAS
Hatherleigh,HAT,A,A3072/River,322,50 49.123N 004 04.417W,,Bridge over river Lew W of T juntion SW side of town,21,WNW,Exeter,25403 10418,HAT,HAT
Haverhill,HAV,C#,A143/A604,174,52 05.078N 000 26.225E,,"T junction in town centre, under LTMA at 3500 ft, CTA base 1500 ft 1 NMl to the SW. Also used as a VRP for Stansted.",13,SE,Cambridge,56708 24572,HAV,HAV
Hawkhurst,HAW,C,A229/A268,203,51 02.835N 000 30.569E,,Town centre,11,N,Hastings,57600 13054,HAW,HAW
Hay-on-wye,HAY,A,River Bridge/B4351,295,52 04.577N 003 07.663W,,River Wye bridge NW side of Hay-on-Wye town.,16,W,Hereford,32281 24259,HAY,HAY
HB start west,HB1,D#,Church Spire,394,52 25.895N 001 06.757W,,"South Kilworth Church, 2.5 NMl W of HB gliding site",11,S,Leicester,46043 28188,HB1,HB1
HB start north,HB2,D#,T junction,525,52 29.173N 001 01.725W,,"Between Laughton village and canal, 3 NMl N of HB gliding site",8,SSE,Leicester,46605 28803,HB2,HB2
HB start east,HB3,D#,Church Spire,410,52 25.644N 000 57.108W,,"Clipston Church, 3.5 NMl E of HB gliding site",13,SE,Leicester,47137 28156,HB3,HB3
HB East,HB4,D#,Peritrack East,505,52 26.393N 001 02.023W,,"North side of landing area at East end, end of old Peritrack",12,S,Leicester,46578 28287,HB4,HB4
HB control point east,HB5,D,Lodge,404,52 26.317N 000 53.411W,,"Arthingworth Lodge, 6 NMl E of HB gliding site",14,SE,Leicester,47554 28287,HB5,HB5
HB Finish West,HB7,D#,Western peritrack,505,52 26.362N 001 03.110W,,For finishing from the W,12,S,Leicester,46455 28280,HB7,HB7
Haydon Bridge,HBR,A,Road Br over River,69,54 58.407N 002 14.761W,,"A69 br over river Tyne, SE side of town",22,W,Newcastle,38435 56434,HBR,HBR
Hinderclay Meadows Air-Strip,HCM,D#,Hanger. NE end of Strip.,89,52 20.846N 000 58.812E,135.48,Hinderclay Meadows Air-strip. 5NM WSW of Diss.  7. 4nm east of Honington Airfield. Launch site for Suffolk Soaring Group.,21,SW,Norwich,60308 27633,HCM,HCM
Haddington,HDD,B,A1/A6137 Rbt,164,55 57.644N 002 47.416W,,N side of village 9 NMl W of Dunbar. TMA 1.5 NMl to the W,14,E,Edinburgh,35076 67447,HDD,HDD
Helmsdale,HDL,A,A9/A897,30,58 06.987N 003 39.030W,,T junction in village 27 Nml SW of Wick. D703 to E,42,NNE,Inverness,30286 91535,HDL,HDL
Hardwick,HDW,C,A428 Bridge,207,52 13.216N 000 00.022E,,Minor road over A428 between Hardwick and Highfields,5,W,Cambridge,53674 25989,HDW,HDW
Hereford Cathedral,HEC,B,Central Tower,161,52 03.249N 002 42.944W,,"S side of town, 400 m NE of main river Wye bridge",0.2,S,Hereford,35102 23977,HEC,HEC
Heathfield E,HEE,A#,A265/B2095,395,50 58.410N 000 16.048E,,T-junction W of the town. Under FL 55 airspace with LTMA 3500 and 2500 close to the NW,13,WNW,Hastings,55929 12179,HEE,HEE
